County,State,GEO_ID,Total Population,Minority Population,ratio_income_poverty (above 200% FPL),Total Bachelors Degree,Est Speak English Less than Well,Per Capita Income,Est Civilians Insured,Est Percent Civilians Insured,Percent Households without Vehicle,Household Level - More People than Rooms (%)
Elk County,Kansas,0500000US20049,2562,163,1405.0,138,0,22437.0,2282,90.3,0.07609668755595345,0.006266786034019696
Gove County,Kansas,0500000US20063,2619,117,1694.0,351,17,28247.0,2295,89.2,0.012386457473162676,0.012386457473162676
Harvey County,Kansas,0500000US20079,34555,2424,23964.0,4286,612,27305.0,30900,91.1,0.05365015317940671,0.007845774490024658
Hodgeman County,Kansas,0500000US20083,1842,66,1305.0,241,19,28514.0,1637,90.4,0.02102496714848883,0.017082785808147174
Kearny County,Kansas,0500000US20093,3932,337,2383.0,235,222,23593.0,3401,87.7,0.02696272799365583,0.0055511498810467885
Stafford County,Kansas,0500000US20185,4214,204,2645.0,506,113,26922.0,3719,90.7,0.030922142462727776,0.003865267807840972
McPherson County,Kansas,0500000US20113,28630,1373,19847.0,4006,89,30234.0,26070,93.3,0.0412262156448203,0.000731826313221662
Osage County,Kansas,0500000US20139,15882,641,11158.0,1333,41,27026.0,14111,90.0,0.03524565151052792,0.009917607567897467
Greeley County,Kansas,0500000US20071,1200,130,817.0,191,76,23668.0,1101,94.2,0.04048582995951417,0.0
Coffey County,Kansas,0500000US20031,8296,369,5818.0,988,12,32112.0,7514,91.7,0.03889515219842165,0.006764374295377677
Crawford County,Kansas,0500000US20037,39108,3389,21075.0,4289,656,22461.0,34252,89.1,0.07785823423902212,0.006178170464359264
Ellis County,Kansas,0500000US20051,28878,1974,18322.0,4190,357,29810.0,26806,93.6,0.05310422243329591,0.006735169674466799
Greenwood County,Kansas,0500000US20073,6156,295,3635.0,639,5,27639.0,5545,91.6,0.05366207396664249,0.012327773749093546
Labette County,Kansas,0500000US20099,20367,2268,12320.0,1616,113,23524.0,17999,89.8,0.05838416531806299,0.015934271131582224
Linn County,Kansas,0500000US20107,9635,424,5783.0,778,14,25771.0,8518,89.0,0.04392824287028519,0.022539098436062558
Sedgwick County,Kansas,0500000US20173,512064,111236,336354.0,65704,19206,28673.0,451209,89.1,0.06190653747337559,0.009040806215171188
Seward County,Kansas,0500000US20175,22692,9648,11967.0,1087,4605,20352.0,18543,82.4,0.05645933014354067,0.03950786056049214
Republic County,Kansas,0500000US20157,4686,110,3331.0,494,21,28901.0,4414,96.1,0.05604982206405694,0.0035587188612099642
Graham County,Kansas,0500000US20065,2545,226,1539.0,385,5,26685.0,2326,92.5,0.03042763157894737,0.0
Johnson County,Kansas,0500000US20091,585502,80374,489341.0,135030,14549,44986.0,547021,94.0,0.03388407103897596,0.0029083901309217564
Douglas County,Kansas,0500000US20045,119319,20841,73726.0,17876,2115,30315.0,109490,92.3,0.05784766924439452,0.005313863567632955
Sheridan County,Kansas,0500000US20179,2506,50,1671.0,303,23,31526.0,2218,89.5,0.04056437389770723,0.003527336860670194
Miami County,Kansas,0500000US20121,33127,1506,25735.0,4000,34,33349.0,30824,94.9,0.033707865168539325,0.005578690971949399
Gray County,Kansas,0500000US20069,6037,181,4519.0,591,345,28878.0,5202,87.4,0.013767783386874713,0.020192748967416244
Wallace County,Kansas,0500000US20199,1575,84,1094.0,271,26,28938.0,1433,92.3,0.018957345971563982,0.0
Stevens County,Kansas,0500000US20189,5686,652,3611.0,288,682,24359.0,4645,83.6,0.04186289900575615,0.008895866038723181
Washington County,Kansas,0500000US20201,5525,196,3609.0,584,61,27718.0,5136,95.3,0.030290102389078498,0.00938566552901024
Chautauqua County,Kansas,0500000US20019,3367,433,1792.0,309,2,24496.0,2880,86.9,0.08413793103448276,0.004827586206896552
Morton County,Kansas,0500000US20129,2838,237,1742.0,234,176,23370.0,2384,86.5,0.03581020590868397,0.0
Reno County,Kansas,0500000US20155,63101,5254,38977.0,5890,900,26190.0,55344,91.3,0.06494491457767843,0.013092767044547341
Cloud County,Kansas,0500000US20029,9060,421,5040.0,845,58,26515.0,7986,90.6,0.05443234836702955,0.0012960082944530845
Scott County,Kansas,0500000US20171,4949,277,3499.0,596,363,31132.0,4568,94.2,0.008888888888888889,0.030123456790123456
Doniphan County,Kansas,0500000US20043,7736,614,4741.0,711,7,25297.0,6861,90.1,0.04861111111111111,0.009259259259259259
Haskell County,Kansas,0500000US20081,4047,415,2531.0,293,358,25417.0,3238,81.2,0.013544018058690745,0.045146726862302484
Lane County,Kansas,0500000US20101,1642,52,1103.0,167,9,28366.0,1459,89.3,0.036848792884371026,0.0
Neosho County,Kansas,0500000US20133,16125,855,9304.0,1304,199,23934.0,14092,88.5,0.0730429576410717,0.009280047897021405
Brown County,Kansas,0500000US20013,9664,1373,6096.0,981,24,25306.0,8814,92.0,0.04021516393442623,0.015368852459016393
Phillips County,Kansas,0500000US20147,5408,182,3539.0,574,33,27140.0,5014,94.5,0.039356749894202285,0.004231908590774439
Riley County,Kansas,0500000US20161,75296,13370,37827.0,9516,1416,26883.0,64555,94.3,0.0638697087961573,0.001613629540678475
Decatur County,Kansas,0500000US20039,2881,64,1793.0,392,30,30208.0,2511,89.5,0.03835800807537012,0.0
Jefferson County,Kansas,0500000US20087,18888,840,14274.0,2039,29,29258.0,17306,92.8,0.02539473684210526,0.007236842105263158
Butler County,Kentucky,0500000US21031,12745,394,6784.0,602,219,22597.0,11414,91.1,0.06525220176140913,0.010608486789431545
Edmonson County,Kentucky,0500000US21061,12122,538,6721.0,522,40,21459.0,11455,95.2,0.040728612361850186,0.0030699959066721244
Harrison County,Kentucky,0500000US21097,18668,856,11752.0,1076,51,23851.0,17051,92.3,0.06798153587914393,0.006574346062386348
Bracken County,Kentucky,0500000US21023,8306,268,5253.0,435,44,23480.0,7826,94.6,0.06899615042937518,0.007403020432336393
Lyon County,Kentucky,0500000US21143,8186,551,4498.0,537,122,26621.0,6454,93.4,0.019030079803560467,0.012277470841006752
Elliott County,Kentucky,0500000US21063,7517,284,2696.0,337,21,14461.0,5827,94.8,0.06133540372670807,0.006987577639751553
Jefferson County,Kentucky,0500000US21111,767154,215614,507927.0,101217,20659,31980.0,716861,94.5,0.09622387357484903,0.00538479881927571
Larue County,Kentucky,0500000US21123,14156,1012,7821.0,419,132,21939.0,13052,94.1,0.042801556420233464,0.011496285815351963
